screen_name,name,account_created,tweets,following,followers
budlight,Bud Light,6 years ago,40091,224,179185
BudLightMEX,Bud Light,7 years ago,10057,437,116906
Photoshop,Adobe Photoshop,9 years ago,4537,749,3332052
BudLightEsports,Bud Light,2 years ago,432,70,16158
MillerLite,Miller Lite,6 years ago,5865,815,227768
InDesign,Adobe InDesign,9 years ago,10918,171,266603
Splenda,Splenda,6 years ago,2462,79,5266
gmail,Gmail,9 years ago,59751,59,5810877
WaltDisneyCo,Walt Disney Company,6 years ago,1901,84,350216
BLPlatinum,Bud Light Platinum,5 years ago,1973,184,10448
budweiserusa,BudweiserUSA,5 years ago,26572,187,161778
googledevs,Google Developers,9 years ago,5096,246,2155935
CoorsLight,Coors Light,6 years ago,7742,133,117227
23andMe,23andMe,10 years ago,16808,7461,87542
MicrosoftStore,Microsoft Store,9 years ago,94474,4837,899409
surface,Microsoft Surface,6 years ago,103216,662,544379
iShares,iShares,7 years ago,15589,1111,186724
CountryCrock,CountryCrock,8 years ago,1978,197,12189
BofA_Tips,Bank of America Tips,8 years ago,3965,430,170631
HuntsChef,The Huntâs Team,7 years ago,2467,333,5140
kraftmacncheese,KRAFT Mac & Cheese,8 years ago,7626,337,21667
BestFoods,Best Foods,8 years ago,12074,1094,9425
Windows,Windows,10 years ago,296025,1745,6157452
Fidelity,Fidelity Investments,9 years ago,22736,5267,233192
kraftcheese,Kraft Cheese,7 years ago,2705,862,16885
Android,Android,6 years ago,5516,65,10108071
BushsBeans,Bush's Beans,9 years ago,5937,288,6228
MinuteRiceUS,Minute Rice,9 years ago,2480,86,13603
RealReddiWip,Reddi Wip,4 years ago,2542,1810,1893
gortonsseafood,Gorton's Seafood,9 years ago,1935,598,8070
COSMermaid,Chicken of the Sea,9 years ago,6511,2182,8436
steelers,Pittsburgh Steelers,9 years ago,39606,265,3359904
Kingsford,Kingsford Charcoal,8 years ago,4147,797,21422
StarKistCharlie,StarKist,8 years ago,11326,970,6683
LowerMyBills,LowerMyBills,9 years ago,187,210,16855
TDAmeritrade,TD Ameritrade,9 years ago,47435,1489,111509
awscloud,Amazon Web Services,9 years ago,23792,724,1669731
starbucksgold,Starbucks Rewards,9 years ago,18212,2109,190893
AmexBusiness,American Express Business,9 years ago,25230,2309,187452
CoolWhip,COOL WHIP,6 years ago,1275,27,2798
GooglePlay,Google Play,7 years ago,147732,941,6904061
Bayer4Crops,Bayer Crop Science,8 years ago,23325,1863,226600
YouTube,YouTube,10 years ago,22784,1019,70733406
StarbucksMex,Starbucks MÃ©xico,8 years ago,18200,13213,510953
Bayer4CropsUS,Bayer CropScience US,7 years ago,33416,6266,58275
Bayer4CropsCA,Crop Science Canada,5 years ago,3880,1019,11497
SbuxIndonesia,Starbucks Indonesia,9 years ago,22674,557,3723809
googlechrome,Google Chrome,9 years ago,27929,106,6395887
LandRover,Land Rover,7 years ago,6134,1781,703267
MerrillLynch,Merrill Lynch,7 years ago,3181,411,493944
LandRover_UK,Land Rover UK,9 years ago,13973,3489,184360
LandRoverUSA,Land Rover USA,7 years ago,7923,400,446501
eHarmony,eharmony,9 years ago,34780,29,58137
LandRoverRugby,Land Rover Rugby,4 years ago,1633,3261,24909
etrade,E*TRADE,9 years ago,14548,551,63353
Walgreens,Walgreens,9 years ago,55094,1600,893061
MLB,MLB,9 years ago,158828,5712,8179516
EatLiquidGold,VELVEETA,7 years ago,3855,734,18539
LincolnMotorCo,Lincoln Motor Company,6 years ago,5976,169,88283
Match,Match,9 years ago,17372,1050,87907
CalvinKlein,CALVIN KLEIN,9 years ago,4983,236,3610953
Heineken_US,Heineken US,6 years ago,7119,258,57879
Capri_Sun,Capri Sun,4 years ago,2393,476,5412
MINIUSA,MINI USA,7 years ago,7686,256,90423
Jet,Jet,3 years ago,5476,84,21936
GoDaddy,GoDaddy,10 years ago,125086,101389,314290
JetHeads,Jet Heads,3 years ago,8911,3,3360
rollsroycecars,Rolls-RoyceMotorCars,7 years ago,2375,67,814876
KeeblerElves,Ernie Keebler,2 years ago,5239,116,19842
TwitterMusic,Twitter Music,6 years ago,15162,376,11979402
TUMStweets,TUMS,7 years ago,80555,729,15900
LoveMyPhilly,PHILADELPHIA,10 years ago,12265,15940,50088
dominosugar,Domino Sugar,9 years ago,10565,11645,25267
MINI,MINI,8 years ago,10821,349,238772
CooperMiniLtd,Cooper MINI,9 years ago,1233,1201,15638
TwitterTV,Twitter TV,6 years ago,15648,1549,9555004
TwitterLive,Twitter Live,8 years ago,5895,38,9567392
OppFunds,OppenheimerFunds,7 years ago,8267,707,82477
TwitterSports,Twitter Sports,7 years ago,13429,1229,15390621
Invisalign,Invisalign,9 years ago,24550,1304,24069
InvisalignLIVE,InvisalignLIVE,9 years ago,2586,784,11710
WisdomTreeETFs,WisdomTree,9 years ago,10959,396,267283
Vanguard_Group,Vanguard,9 years ago,21976,938,268188
MetLifeCares,MetLife Cares,6 months ago,352,1,196
MorningstarInc,"Morningstar, Inc.",9 years ago,26960,400,84538
MagnumGlobal,Magnum Ice Cream,6 years ago,2756,285,9146
