fortune_rank_2018,company_name,twitter_handle_&_link,press_contact,ticker_symbol,ceo_name,ceo_title,sector,industry,hq_location,website,years_on_fortune_list
443,Motorola Solutions,@MotoSolutions,,MSI,Gregory Q. Brown,Chairman & Chief Executive Officer,Technology,Network and Other Communications Equipment,Chicago,http://www.motorolasolutions.com,24
444,NVR,n/a,,NVR,Paul C. Saville,"President, Chief Executive Officer & Director",Engineering & Construction,Homebuilders,"Reston, Va.",http://www.nvrinc.com,9
445,Rockwell Automation,@rokautomation,,ROK,Blake D. Moret,"Chairman, President & Chief Executive Officer",Industrials,"Electronics, Electrical Equip.",Milwaukee,http://www.rockwellautomation.com,24
446,TreeHouse Foods,n/a,,THS,Steven Oakland,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,"Oak Brook, Ill.",http://www.treehousefoods.com,2
447,Wynn Resorts,@WynnLasVegas,,WYNN,Matthew O. Maddox,"President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,http://www.wynnresorts.com,5
448,Olin,n/a,,OLN,John E. Fischer,"Chairman, President & Chief Executive Officer",Chemicals,Chemicals,"Clayton, Mo.",http://www.olin.com,5
449,American Axle & Manufacturing,@americanaxle,,AXL,David C. Dauch,Chairman & Chief Executive Officer,Motor Vehicles & Parts,Motor Vehicles and Parts,Detroit,http://www.aam.com,4
450,Old Republic International,n/a,,ORI,Aldo C. Zucaro,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),Chicago,http://www.oldrepublic.com,7
451,Chemours,@chemours,,CC,Mark P. Vergnano,"President, Chief Executive Officer & Director",Chemicals,Chemicals,"Wilmington, Del.",http://www.chemours.com,2
452,iHeartMedia,@iHeartMedia,,IHRTQ,Robert W. Pittman,Chairman & Chief Executive Officer,Media,Entertainment,San Antonio,http://www.iheartmedia.com,18
453,Ameren,@AmerenCorp,,AEE,Warner L. Baxter,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,St. Louis,http://www.ameren.com,21
454,Arthur J. Gallagher,@GallagherGlobal,,AJG,J. Patrick Gallagher Jr.,"Chairman, President & Chief Executive Officer",Financials,Diversified Financials,"Rolling Meadows, Ill.",http://www.ajg.com,3
455,Celanese,@celanese,,CE,Mark C. Rohr,"Chairman, President & Chief Executive Officer",Chemicals,Chemicals,"Irving, Texas",http://www.celanese.com,13
456,Sealed Air,@Sealed_Air,,SEE,Edward L. Doheny II,"President, Chief Executive Officer & Director",Materials,"Packaging, Containers","Charlotte, N.C.",http://www.sealedair.com,21
457,UGI,@UGI_Utilities,,UGI,John L. Walsh,"President, Chief Executive Officer & Director",Energy,Energy,"King of Prussia, Pa.",http://www.ugicorp.com,14
458,Realogy Holdings,@Realogy,,RLGY,Ryan M. Schneider,"President, Chief Executive Officer & Director",Financials,Real estate,"Madison, N.J.",http://www.realogy.com,8
459,Burlington Stores,@Burlington,,BURL,Thomas A. Kingsbury,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Apparel,"Burlington, N.J.",http://www.burlington.com,3
460,Regions Financial,@askRegions,,RF,O.B. Grayson Hall Jr.,Chairman & Chief Executive Officer,Financials,Commercial Banks,"Birmingham, Ala.",http://www.regions.com,20
461,AK Steel Holding,n/a,,AKS,Roger K. Newport,Chairman & Chief Executive Officer,Materials,Metals,"West Chester, Ohio",http://www.aksteel.com,18
462,Securian Financial Group,@securian,,,Christopher M. Hilger,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)","St. Paul, Minn.",http://www.securian.com,1
463,S&P Global,@SPGlobalRatings,,SPGI,Douglas L. Peterson,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,New York City,http://www.spglobal.com,24
464,Markel,n/a,,MKL,Thomas S. Gayner/Richard R. Whitt III,Co-Chief Executive Officer & Director,Financials,Insurance: Property and Casualty (Stock),"Glen Allen, Va.",http://www.markelcorp.com,3
465,TravelCenters of America,@TATravelCenters,,TA,Andrew J. Rebholz,Chief Executive Officer & Director,Retailing,Specialty Retailers: Other,"Westlake, Ohio",http://www.ta-petro.com,11
466,Conduent,@conduent,,CNDT,Ashok Vemuri,Chairman & Chief Executive Officer,Business Services,Diversified Outsourcing Services,"Florham Park, N.J.",http://www.conduent.com,1
467,M&T Bank Corp.,@MandT_Bank,,MTB,Rene F. Jones,Chairman & Chief Executive Officer,Financials,Commercial Banks,"Buffalo, N.Y.",http://www.mtb.com,3
468,Clorox,@Clorox,,CLX,Benno O. Dorer,Chairman & Chief Executive Officer,Household Products,Household and Personal Products,"Oakland, Calif.",http://www.thecloroxcompany.com,19
469,AmTrust Financial Services,@AmTrustInsured,,AFSI,Barry D. Zyskind,"Chairman, President & Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),New York City,http://www.amtrustfinancial.com,2
470,KKR,@kkr_co,,KKR,Henry R. Kravis/George R. Roberts,Co-Chairman & Co-Chief Executive Officer,Financials,Securities,New York City,http://www.kkr.com,6
471,Ulta Beauty,@UltaBeauty,,ULTA,Mary N. Dillon,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Other,"Bolingbrook, Ill.",http://www.ulta.com,1
472,Yum Brands,@yumbrands,,YUM,Greg Creed,Chief Executive Officer & Director,"Hotels, Restaurants & Leisure",Food Services,"Louisville, Ky.",http://www.yum.com,20
473,Regeneron Pharmaceuticals,@Regeneron ‏,,REGN,Leonard S. Schleifer,"President, Chief Executive Officer & Director",Health Care,Pharmaceuticals,"Tarrytown, N.Y.",http://www.regeneron.com,1
474,Windstream Holdings,@windstream,,WIN,Anthony W. Thomas,"President, Chief Executive Officer & Director",Telecommunications,Telecommunications,"Little Rock, Ark.",http://www.windstream.com,6
475,Magellan Health,@MagellanHealth,,MGLN,Barry M. Smith,Chairman & Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,"Scottsdale, Ariz.",http://www.magellanhealth.com,1
476,Western & Southern Financial,@WesternSouthern,,,John F. Barrett,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (Mutual)",Cincinnati,http://www.westernsouthern.com,14
477,Intercontinental Exchange,@ice_markets,,ICE,Jeffrey C. Sprecher,Chairman & Chief Executive Officer,Financials,Securities,Atlanta,http://www.theice.com,2
478,Ingredion,@Ingredion,,INGR,James P. Zallie,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Production,"Westchester, Ill.",http://www.ingredion.com,7
479,Wyndham Destinations,@wyndestinations,,WYN,Michael D. Brown,Chairman & Chief Executive Officer,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Parsippany, N.J.",http://www.wyndhamdestinations.com,5
480,Toll Brothers,@tollbrothersinc,,TOL,Douglas C. Yearley Jr.,Chairman & Chief Executive Officer,Engineering & Construction,Homebuilders,"Horsham, Pa.",http://www.tollbrothers.com,6
481,Seaboard,n/a,,SEB,Steven J. Bresky,"Chairman, President & Chief Executive Officer","Food, Beverages & Tobacco",Food Production,"Merriam, Kans.",http://www.seaboardcorp.com,8
482,Booz Allen Hamilton,@BoozAllen,,BAH,Horacio D. Rozanski,"President, Chief Executive Officer & Director",Technology,Information Technology Services,"McLean, Va.",http://www.boozallen.com,8
483,First American Financial,@FirstAm,,FAF,Dennis J. Gilmore,Chairman & Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),"Santa Ana, Calif.",http://www.firstam.com,4
484,Cincinnati Financial,n/a,,CINF,Steven J. Johnston,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),"Fairfield, Ohio",http://www.cinfin.com,4
485,Avon Products,@avonworldwide,,AVP,Jan Zijderveld,Chairman & Chief Executive Officer,Household Products,Household and Personal Products,"Rye, N.Y.",http://www.avoninvestor.com,24
486,Northern Trust,@TheNTGolf,,NTRS,Michael G. O'Grady,"President, Chief Executive Officer & Director",Financials,Commercial Banks,Chicago,http://www.northerntrust.com,7
487,Fiserv,@Fiserv,,FISV,Jeffery W. Yabuki,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Brookfield, Wis.",http://www.fiserv.com,8
488,Harley-Davidson,@harleydavidson,,HOG,Matthew S. Levatich,"President, Chief Executive Officer & Director",Transportation,Transportation Equipment,Milwaukee,http://www.harley-davidson.com,17
489,Cheniere Energy,@Cheniere,,LNG,Jack A. Fusco,"President, Chief Executive Officer & Director",Energy,Energy,Houston,http://www.cheniere.com,1
490,Patterson,n/a,,PDCO,Mark S. Walchirk,"President, Chief Executive Officer & Director",Wholesalers,Wholesalers: Health Care,"St. Paul, Minn.",http://www.pattersoncompanies.com,2
491,Peabody Energy,@peabodyenergy,,BTU,Glenn L. Kellow,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production",St. Louis,http://www.peabodyenergy.com,13
492,ON Semiconductor,@onsemi,,ON,Keith D. Jackson,"President, Chief Executive Officer & Director",Technology,Semiconductors and Other Electronic Components,Phoenix,http://www.onsemi.com,1
493,Simon Property Group,@SimonPropertyGp,,SPG,David E. Simon,Chairman & Chief Executive Officer,Financials,Real estate,Indianapolis,http://www.simon.com,5
494,Western Union,@WesternUnion,,WU,Hikmet Ersek,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Englewood, Colo.",http://www.westernunion.com,12
495,NetApp,@NetApp,,NTAP,George Kurian,"President, Chief Executive Officer & Director",Technology,"Computers, Office Equipment","Sunnyvale, Calif.",http://www.netapp.com,7
496,Polaris Industries,@PolarisInd,,PII,Scott W. Wine,Chairman & Chief Executive Officer,Transportation,Transportation Equipment,"Medina, Minn.",http://www.polaris.com,1
497,Pioneer Natural Resources,@PXDtweets ‏,,PXD,Timothy L. Dove,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production","Irving, Texas",http://www.pxd.com,2
498,ABM Industries,@ABMFacilityServ,,ABM,Scott B. Salmirs,"President, Chief Executive Officer & Director",Business Services,Diversified Outsourcing Services,New York City,http://www.abm.com,3
499,Vistra Energy,@VistraEnergy,,VST,Curtis A. Morgan,"President, Chief Executive Officer & Director",Energy,Energy,"Irving, Texas",http://www.vistraenergy.com,2
500,Cintas,@CintasCorp,,CTAS,Scott D. Farmer,Chairman & Chief Executive Officer,Business Services,Diversified Outsourcing Services,Cincinnati,http://www.cintas.com,1
