fortune_rank_2018,company_name,twitter_handle_&_link,press_contact,ticker_symbol,ceo_name,ceo_title,sector,industry,hq_location,website,years_on_fortune_list
205,Lincoln National,@lincolnfingroup,,LNC,Dennis R. Glass,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (stock)","Radnor, Pa.",http://www.lfg.com,24
206,HollyFrontier,n/a ,,HFC,George J. Damiris,"President, Chief Executive Officer & Director",Energy,Petroleum Refining,Dallas,http://www.hollyfrontier.com,11
207,CBRE Group,@cbre,,CBRE,Robert E. Sulentic,"President, Chief Executive Officer & Director",Financials,Real estate,Los Angeles,http://www.cbre.com,11
208,Textron,@textron,,TXT,Scott C. Donnelly,"Chairman, President & Chief Executive Officer",Aerospace & Defense,Aerospace and Defense,"Providence, R.I.",http://www.textron.com,24
209,Ross Stores,n/a ,,ROST,Barbara Rentler,Chairman & Chief Executive Officer,Retailing,Specialty Retailers: Apparel,"Dublin, Calif.",http://www.rossstores.com,16
210,Principal Financial,@principal,,PFG,Daniel J. Houston,"Chairman, President & Chief Executive Officer",Financials,"Insurance: Life, Health (stock)","Des Moines, Iowa",http://www.principal.com,24
211,D.R. Horton,@drhorton,,DHI,David V. Auld,"President, Chief Executive Officer & Director",Engineering & Construction,Homebuilders,"Arlington, Texas",http://www.drhorton.com,16
212,Marsh & McLennan,@mmc_global,,MMC,Daniel S. Glaser,"President, Chief Executive Officer & Director",Financials,Diversified Financials,New York City,http://www.mmc.com,24
213,Devon Energy,@DevonEnergy,,DVN,David A. Hager,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production",Oklahoma City,http://www.devonenergy.com,17
214,AES,@TheAESCorp,,AES,Andres R. Gluski,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,"Arlington, Va.",http://www.aes.com,18
215,Ecolab,@Ecolab,,ECL,Douglas M. Baker Jr.,Chairman & Chief Executive Officer,Chemicals,Chemicals,"St. Paul, Minn.",http://www.ecolab.com,16
216,Land O’Lakes,@LandOLakesKtchn,,,Christopher J. Policinski,"President, Chief Executive Officer & Director","Food, Beverages & Tobacco",Food Consumer Products,"Arden Hills, Minn.",http://www.landolakesinc.com,16
217,Loews,@lowes,,L,James S. Tisch,"President, Chief Executive Officer & Director",Financials,Insurance: Property and Casualty (Stock),New York City,http://www.loews.com,24
218,Kinder Morgan,@Kinder_Morgan,,KMI,Steven J. Kean,"President, Chief Executive Officer & Director",Energy,Pipelines,Houston,http://www.kindermorgan.com,15
219,FirstEnergy,@firstenergycorp,,FE,Charles E. Jones,"President, Chief Executive Officer & Director",Energy,Utilities: Gas and Electric,"Akron, Ohio",http://www.firstenergycorp.com,23
220,Occidental Petroleum,@oxy_petroleum,,OXY,Vicki A. Hollub,"President, Chief Executive Officer & Director",Energy,"Mining, Crude-Oil Production",Houston,http://www.oxy.com,24
221,Viacom,@Viacom,,VIAB,Robert M. Bakish,"President, Chief Executive Officer & Director",Media,Entertainment,New York City,http://www.viacom.com,13
222,PayPal Holdings,@PayPal,,PYPL,Daniel H. Schulman,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"San Jose, Calif.",http://www.paypal.com,3
223,NGL Energy Partners,n/a,,NGL,H. Michael Krimbill,Chief Executive Officer & Director,Energy,Energy,"Tulsa, Okla.",http://www.nglenergypartners.com,4
224,Celgene,@Celgene,,CELG,Mark J. Alles,Chairman & Chief Executive Officer,Health Care,Pharmaceuticals,"Summit, N.J.",http://www.celgene.com,7
225,Arconic,@Alcoa,,ARNC,Charles P. Blankenship,Chairman & Chief Executive Officer,Aerospace & Defense,Aerospace and Defense,New York City,http://www.arconic.com,24
226,Kellogg,@kelloggsus,,K,Steven A. Cahillane,"Chairman, President & Chief Executive Officer","Food, Beverages & Tobacco",Food Consumer Products,"Battle Creek, Mich.",http://www.kelloggcompany.com,24
227,Las Vegas Sands,@lasvegassands,,LVS,Sheldon G. Adelson,Chairman & Chief Executive Officer,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Las Vegas,http://www.sands.com,9
228,Stanley Black & Decker,@StanleyBlkDeckr,,SWK,James M. Loree,"President, Chief Executive Officer & Director",Household Products,"Home Equipment, Furnishings","New Britain, Conn.",http://www.stanleyblackanddecker.com,11
229,Booking Holdings,@BookingHoldings,,BKNG,Glenn D. Fogel,"President, Chief Executive Officer & Director",Technology,Internet Services and Retailing,"Norwalk, Conn.",http://www.bookingholdings.com,6
230,Lennar,@Lennar,,LEN,Richard Beckwitt,Chief Executive Officer & Director,Engineering & Construction,Homebuilders,Miami,http://www.lennar.com,14
231,L Brands,@L_Brands,,LB,Leslie H. Wexner,"Chairman, President & Chief Executive Officer",Retailing,Specialty Retailers: Apparel,"Columbus, Ohio",http://www.lb.com,24
232,DTE Energy,@DTE_Energy,,DTE,Gerard M. Anderson,Chairman & Chief Executive Officer,Energy,Utilities: Gas and Electric,Detroit,http://www.dteenergy.com,24
233,Dominion Energy,@DominionEnergy,,D,Thomas F. Farrell II,"Chairman, President & Chief Executive Officer",Energy,Utilities: Gas and Electric,"Richmond, Va.q",www.dominionenergy.com,24
234,Reinsurance Group of America,@RGA_RE,,RGA,Anna Manning,"President, Chief Executive Officer & Director",Financials,"Insurance: Life, Health (stock)","Chesterfield, Mo.",http://www.rgare.com,9
235,J.C. Penney,@JCPenneyCareers,,JCP,Jeffrey A. Davis/Joseph M. McFarland/Therace M. Risch,Chairman & Chief Executive Officer,Retailing,General Merchandisers,"Plano, Texas",http://www.jcpenney.com,24
236,Mastercard,@Mastercard,,MA,Ajay Banga,"President, Chief Executive Officer & Director",Business Services,Financial Data Services,"Purchase, N.Y.",http://www.mastercard.com,10
237,BlackRock,@blackrock,,BLK,Laurence D. Fink,Chairman & Chief Executive Officer,Financials,Securities,New York City,http://www.blackrock.com,11
238,Henry Schein,@HenrySchein,,HSIC,Stanley M. Bergman,Chairman & Chief Executive Officer,Wholesalers,Wholesalers: Health Care,"Melville, N.Y.",http://www.henryschein.com,15
